Site,Feature,Bin,Bin_Label,Q_low,Q_high,Mean_Uncertainty,Std_Uncertainty,Mean_MAE,Std_MAE,N_samples
SE-Htm,SW_IN_F,1,Q2 (Med-Low),-0.7151,-0.6039,1.760638690185487,1.0619472211605665,2.891068170713711,1.7038024695119802,2503
SE-Htm,SW_IN_F,2,Q3 (Med-High),-0.6039,0.3229,2.0038055251346867,0.963371281965596,3.3510181517389377,1.6311491044666404,1252
SE-Htm,SW_IN_F,3,Q4 (High),0.3229,3.4672,2.6535154422349443,0.6220296869721078,4.3032336400727385,1.0654277683611164,1252
SE-Htm,LW_IN_F,0,Q1 (Low),-3.4887,-0.85,1.5568091164809692,0.9152885415545604,2.4346132874320894,1.5089972853711577,1252
SE-Htm,LW_IN_F,1,Q2 (Med-Low),-0.85,-0.1047,1.7232493590654987,0.9732100878003225,2.9039477765952255,1.6190870637889225,1251
SE-Htm,LW_IN_F,2,Q3 (Med-High),-0.1047,0.5704,2.0470616365858363,0.9789685182603793,3.4273989130755416,1.503129444368432,1252
SE-Htm,LW_IN_F,3,Q4 (High),0.5704,2.4708,2.851448371925297,0.6070965024877882,4.670438443361387,0.9934636379842495,1252
SE-Htm,WS_F,0,Q1 (Low),-0.9673,-0.4759,2.0588877645819905,1.0656965525647173,3.317557300775295,1.773495630179672,1252
SE-Htm,WS_F,1,Q2 (Med-Low),-0.4759,-0.296,2.124781288058356,0.9826755364372348,3.473427059867341,1.6254635536458455,1251
SE-Htm,WS_F,2,Q3 (Med-High),-0.296,-0.018,2.1259786842340507,0.9489638268973073,3.46766741625507,1.5437496439285834,1252
SE-Htm,WS_F,3,Q4 (High),-0.018,1.6264,1.869241459586554,1.0286357493556564,3.178201499224104,1.6434624222911343,1252
SE-Htm,P_F,3,Q4 (High),-0.103,63.3396,2.044706309702627,1.0129207171807983,3.359190508217423,1.6530970725578538,5007
