Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,XGBoost,82,2.85783,2.17027,0.39051
UK-AMo,XGBoost,83,2.86571,2.19052,0.38714
UK-AMo,XGBoost,84,2.87009,2.17285,0.38525
UK-AMo,XGBoost,85,2.86886,2.1899,0.38578
UK-AMo,XGBoost,86,2.84871,2.15612,0.39437
UK-AMo,XGBoost,87,2.85057,2.16271,0.39358
UK-AMo,XGBoost,88,2.83879,2.14474,0.39858
UK-AMo,XGBoost,89,2.88008,2.19766,0.38095
UK-AMo,XGBoost,90,2.88517,2.19787,0.37878
UK-AMo,XGBoost,91,2.86727,2.18621,0.38646
UK-AMo,XGBoost,92,2.87682,2.19241,0.38236
UK-AMo,XGBoost,93,2.8973,2.20149,0.37354
UK-AMo,XGBoost,94,2.89104,2.19833,0.37624
UK-AMo,XGBoost,95,2.86273,2.18238,0.3884
UK-AMo,XGBoost,96,2.89686,2.2051,0.37373
UK-AMo,LSTM,1,2.35586,1.59034,0.58578
UK-AMo,LSTM,2,2.4921,1.66179,0.53648
UK-AMo,LSTM,3,2.56323,1.71806,0.50964
UK-AMo,LSTM,4,2.58845,1.74271,0.49992
UK-AMo,LSTM,5,2.63648,1.76839,0.4812
UK-AMo,LSTM,6,2.65663,1.78688,0.47324
UK-AMo,LSTM,7,2.70611,1.82853,0.45344
UK-AMo,LSTM,8,2.76346,1.879,0.43003
UK-AMo,LSTM,9,2.75879,1.89182,0.43195
UK-AMo,LSTM,10,2.74116,1.89297,0.43918
UK-AMo,LSTM,11,2.72992,1.88174,0.44376
UK-AMo,LSTM,12,2.71977,1.87716,0.44788
UK-AMo,LSTM,13,2.71295,1.87587,0.45064
UK-AMo,LSTM,14,2.6863,1.86458,0.46137
UK-AMo,LSTM,15,2.70298,1.86809,0.45466
UK-AMo,LSTM,16,2.71165,1.86659,0.45115
UK-AMo,LSTM,17,2.73146,1.88285,0.4431
UK-AMo,LSTM,18,2.75335,1.88538,0.43415
UK-AMo,LSTM,19,2.75985,1.88086,0.43149
UK-AMo,LSTM,20,2.76039,1.85805,0.43128
UK-AMo,LSTM,21,2.7213,1.83002,0.44727
UK-AMo,LSTM,22,2.69167,1.82426,0.45924
UK-AMo,LSTM,23,2.68394,1.80813,0.46235
UK-AMo,LSTM,24,2.73087,1.83167,0.44339
UK-AMo,LSTM,25,2.75765,1.83883,0.43242
UK-AMo,LSTM,26,2.77508,1.85203,0.42523
UK-AMo,LSTM,27,2.78128,1.8647,0.42265
UK-AMo,LSTM,28,2.78158,1.87039,0.42253
