Config,Group,Label,Model,Site,N_train,CI_lo,CI_hi,R2,RMSE,R2_h1,R2_h24,R2_h96,R2_mean
A_cov_080pct,Coverage,80% data,Random Forest,SE-Htm,5000,0.4168696785270466,0.4261920834502214,0.42148624917693034,5.533441251393147,0.4657813844695694,0.4556155719842745,0.3722976616072524,0.42174868696046525
A_cov_080pct,Coverage,80% data,XGBoost,UK-AMo,5000,0.5399900376796722,0.5562883839011192,0.5481258928775787,2.460620880126953,0.7878286689519882,0.6192365288734436,0.4143807291984558,0.5481299573245147
A_cov_080pct,Coverage,80% data,XGBoost,SE-Htm,5000,0.4353131532669067,0.44356838911771773,0.43929845094680786,5.447588920593262,0.5369804799556732,0.47606050968170166,0.3948410153388977,0.4395621915658315
A_cov_080pct,Coverage,80% data,LSTM,UK-AMo,5000,0.4725372508168221,0.49260527938604354,0.48295676708221436,2.6320817470550537,0.5824893712997437,0.5349199771881104,0.3910602927207947,0.4829596470420559
A_cov_080pct,Coverage,80% data,LSTM,SE-Htm,5000,0.3401277393102646,0.35370453596115115,0.34579360485076904,5.884314060211182,0.3732902407646179,0.365600049495697,0.3303665518760681,0.34585428175826866
A_cov_100pct,Coverage,100% data,Random Forest,UK-AMo,5000,0.5504587182735954,0.5690141552221379,0.5593818028186037,2.429781219895274,0.7191460183302192,0.6024842138442585,0.4688764286852636,0.559385000480942
A_cov_100pct,Coverage,100% data,Random Forest,SE-Htm,5000,0.3275627698104445,0.3362057258367148,0.3319949293984059,5.946047028504887,0.4093221284888956,0.33888620938481406,0.28487063062203277,0.3322444982771234
A_cov_100pct,Coverage,100% data,XGBoost,UK-AMo,5000,0.5245733387768269,0.5392639227211475,0.532408744096756,2.5030477046966553,0.7726858705282211,0.5919302701950073,0.4438777565956116,0.5324125288364788
A_cov_100pct,Coverage,100% data,XGBoost,SE-Htm,5000,0.3723326548933983,0.3792813569307327,0.37581151723861694,5.747729778289795,0.46931183338165283,0.38024139404296875,0.3411371111869812,0.37613865608970326
A_cov_100pct,Coverage,100% data,LSTM,UK-AMo,5000,0.45839501172304153,0.47846016883850095,0.46845483779907227,2.668738603591919,0.5672672688961029,0.5278311371803284,0.39546626806259155,0.46845779474824667
A_cov_100pct,Coverage,100% data,LSTM,SE-Htm,5000,0.17741216272115706,0.19090791195631027,0.1835411787033081,6.573635101318359,0.2083778977394104,0.19094210863113403,0.1706629991531372,0.18362239561975002
B_loo_0_FILom,LOO,LOO: −FI-Lom,Random Forest,UK-AMo,5000,0.546008475010492,0.5618129029204604,0.5540958123068902,2.444312518086298,0.7122338300900535,0.607504831965135,0.4712737076261042,0.5540993804738233
B_loo_0_FILom,LOO,LOO: −FI-Lom,Random Forest,SE-Htm,5000,0.25090790542106123,0.2586467639125229,0.25493246507185385,6.279662169003357,0.3897806096998738,0.293575237756723,0.22477622686812793,0.25526176236022285
B_loo_0_FILom,LOO,LOO: −FI-Lom,XGBoost,UK-AMo,5000,0.5207156166434288,0.5357048518955707,0.5285012423992157,2.5134847164154053,0.7671918720006943,0.5751080513000488,0.3980526328086853,0.5285053962531189
B_loo_0_FILom,LOO,LOO: −FI-Lom,XGBoost,SE-Htm,5000,0.35056880712509153,0.3569914251565933,0.35335391759872437,5.85021448135376,0.4687787890434265,0.36952245235443115,0.3224502205848694,0.35361646736661595
B_loo_0_FILom,LOO,LOO: −FI-Lom,LSTM,UK-AMo,5000,0.3293001338839531,0.3507647648453712,0.34152913093566895,2.9703269004821777,0.43693721294403076,0.38005226850509644,0.2827126979827881,0.3415307967613141
